model,dataset,seed,test_ndcg10,test_ndcg1000,test_f1_5,best_epoch
torch_per_label_softmax_global,yso-fi,1,0.695463,0.802736,0.534358,5
torch_per_label_softmax_global,yso-en,1,0.653195,0.768632,0.465737,9
torch_per_label_softmax_global,koko,1,0.364017,0.477095,0.268276,3
torch_per_label_softmax_global,yso-fi,2,0.696172,0.803512,0.533914,5
torch_per_label_softmax_global,yso-en,2,0.646224,0.765547,0.460522,6
torch_per_label_softmax_global,koko,2,0.363789,0.477419,0.268166,3
torch_per_label_softmax_global,yso-fi,3,0.695778,0.803196,0.533742,5
torch_per_label_softmax_global,yso-en,3,0.656002,0.769789,0.467595,10
torch_per_label_softmax_global,koko,3,0.364019,0.476087,0.268873,3
torch_per_label_softmax_global,yso-fi,4,0.695783,0.802958,0.534022,5
torch_per_label_softmax_global,yso-en,4,0.655580,0.769476,0.468496,10
torch_per_label_softmax_global,koko,4,0.363942,0.477068,0.268406,3
torch_per_label_softmax_global,yso-fi,5,0.695439,0.804960,0.534474,4
torch_per_label_softmax_global,yso-en,5,0.653261,0.768450,0.466918,9
torch_per_label_softmax_global,koko,5,0.359218,0.473651,0.265074,5
torch_per_label_softmax_global_active_lowrank_no_centering,yso-fi,1,0.695816,0.804822,0.534485,4
torch_per_label_softmax_global_active_lowrank_no_centering,yso-en,1,0.653781,0.769810,0.467005,9
torch_per_label_softmax_global_active_lowrank_no_centering,koko,1,0.363934,0.476527,0.268408,3
torch_per_label_softmax_global_active_lowrank_no_centering,yso-fi,2,0.695864,0.803356,0.533334,5
torch_per_label_softmax_global_active_lowrank_no_centering,yso-en,2,0.652187,0.768628,0.464783,8
torch_per_label_softmax_global_active_lowrank_no_centering,koko,2,0.364331,0.477900,0.268939,3
torch_per_label_softmax_global_active_lowrank_no_centering,yso-fi,3,0.696306,0.803886,0.535599,5
torch_per_label_softmax_global_active_lowrank_no_centering,yso-en,3,0.652107,0.768363,0.463858,8
torch_per_label_softmax_global_active_lowrank_no_centering,koko,3,0.364058,0.477856,0.268413,3
torch_per_label_softmax_global_active_lowrank_no_centering,yso-fi,4,0.694994,0.804513,0.534721,4
torch_per_label_softmax_global_active_lowrank_no_centering,yso-en,4,0.652765,0.769139,0.465302,9
torch_per_label_softmax_global_active_lowrank_no_centering,koko,4,0.364284,0.478448,0.269229,3
torch_per_label_softmax_global_active_lowrank_no_centering,yso-fi,5,0.695857,0.803356,0.534955,5
torch_per_label_softmax_global_active_lowrank_no_centering,yso-en,5,0.653754,0.769194,0.466598,9
torch_per_label_softmax_global_active_lowrank_no_centering,koko,5,0.363750,0.477448,0.268452,3
torch_per_label_softmax_global_active_lowrank,yso-fi,1,0.695816,0.804823,0.534485,4
torch_per_label_softmax_global_active_lowrank,yso-en,1,0.644746,0.764465,0.460394,6
torch_per_label_softmax_global_active_lowrank,koko,1,0.363912,0.476592,0.268403,3
torch_per_label_softmax_global_active_lowrank,yso-fi,2,0.695978,0.803359,0.533334,5
torch_per_label_softmax_global_active_lowrank,yso-en,2,0.652187,0.768675,0.464783,8
torch_per_label_softmax_global_active_lowrank,koko,2,0.364323,0.477855,0.268939,3
torch_per_label_softmax_global_active_lowrank,yso-fi,3,0.696306,0.803931,0.535599,5
torch_per_label_softmax_global_active_lowrank,yso-en,3,0.652107,0.768364,0.463858,8
torch_per_label_softmax_global_active_lowrank,koko,3,0.364051,0.477980,0.268352,3
torch_per_label_softmax_global_active_lowrank,yso-fi,4,0.694994,0.804513,0.534721,4
torch_per_label_softmax_global_active_lowrank,yso-en,4,0.652774,0.769328,0.465302,9
torch_per_label_softmax_global_active_lowrank,koko,4,0.362762,0.477207,0.268487,4
torch_per_label_softmax_global_active_lowrank,yso-fi,5,0.695857,0.803357,0.534955,5
torch_per_label_softmax_global_active_lowrank,yso-en,5,0.653767,0.769284,0.466791,9
torch_per_label_softmax_global_active_lowrank,koko,5,0.362609,0.476773,0.268130,4
torch_per_label_softmax_global_active_lowrank_combined,yso-fi,1,0.696915,0.803832,0.535279,5
torch_per_label_softmax_global_active_lowrank_combined,yso-en,1,0.653504,0.769698,0.466838,9
torch_per_label_softmax_global_active_lowrank_combined,koko,1,0.364066,0.476649,0.268836,3
torch_per_label_softmax_global_active_lowrank_combined,yso-fi,2,0.695150,0.804464,0.535301,4
torch_per_label_softmax_global_active_lowrank_combined,yso-en,2,0.654977,0.769216,0.468632,10
torch_per_label_softmax_global_active_lowrank_combined,koko,2,0.362318,0.475667,0.267469,4
torch_per_label_softmax_global_active_lowrank_combined,yso-fi,3,0.696188,0.803405,0.533247,5
torch_per_label_softmax_global_active_lowrank_combined,yso-en,3,0.652709,0.768229,0.466926,9
torch_per_label_softmax_global_active_lowrank_combined,koko,3,0.362386,0.477130,0.267579,4
torch_per_label_softmax_global_active_lowrank_combined,yso-fi,4,0.696715,0.803332,0.534485,5
torch_per_label_softmax_global_active_lowrank_combined,yso-en,4,0.653428,0.769549,0.466081,9
torch_per_label_softmax_global_active_lowrank_combined,koko,4,0.363760,0.476593,0.268779,3
torch_per_label_softmax_global_active_lowrank_combined,yso-fi,5,0.695334,0.804675,0.534650,4
torch_per_label_softmax_global_active_lowrank_combined,yso-en,5,0.653121,0.768758,0.465641,9
torch_per_label_softmax_global_active_lowrank_combined,koko,5,0.364001,0.477930,0.268971,3
